20;1;000000;0
19;1;000000;0
18;1;000000;0
17;1;000000;0
16;1;000000;0
15;1;000000;0
14;1;000000;0
13;1;000000;0
12;1;000000;0
11;1;000000;0
10;1;000000;0
9;1;000000;0
8;1;000000;0
7;1;000000;0
6;1;000000;0
5;1;000000;0
4;1;000000;0
3;1;000000;0
2;1;000000;0
1;1;000000;0
20;2;000000;0
19;2;000000;0
18;2;000000;0
17;2;000000;0
16;2;000000;0
15;2;000000;0
14;2;f6992d;33
13;2;f79624;64
12;2;f8992c;81
11;2;f79422;84
10;2;f79422;77
9;2;f79422;62
8;2;f8972c;30
7;2;000000;0
6;2;000000;0
5;2;000000;0
4;2;000000;0
3;2;000000;0
2;2;000000;0
1;2;000000;0
20;3;000000;0
19;3;000000;0
18;3;000000;0
17;3;000000;0
16;3;f79622;38
15;3;f79423;95
14;3;f79422;100
13;3;f79422;100
12;3;f79422;100
11;3;f79422;100
10;3;f79422;100
9;3;f79422;100
8;3;f79422;100
7;3;f79422;94
6;3;f69322;33
5;3;000000;0
4;3;000000;0
3;3;000000;0
2;3;000000;0
1;3;000000;0
20;4;000000;0
19;4;000000;0
18;4;000000;0
17;4;f79322;73
16;4;f79422;100
15;4;f79422;100
14;4;f79422;100
13;4;f79422;100
12;4;f79422;100
11;4;f79422;100
10;4;f79422;100
9;4;f79422;100
8;4;f79422;100
7;4;f79422;100
6;4;f79422;100
5;4;f79521;66
4;4;000000;0
3;4;000000;0
2;4;000000;0
1;4;000000;0
20;5;000000;0
19;5;000000;0
18;5;f79421;72
17;5;f79422;100
16;5;f79421;100
15;5;f79729;100
14;5;f89f37;100
13;5;f7982b;100
12;5;f8a03a;100
11;5;f79320;100
10;5;f79320;100
9;5;f79321;100
8;5;f79320;100
7;5;f79320;100
6;5;f79422;100
5;5;f79422;100
4;5;f79322;65
3;5;000000;0
2;5;000000;0
1;5;000000;0
20;6;000000;0
19;6;f89523;40
18;6;f79422;100
17;6;f7921e;100
16;6;f9b464;99
15;6;fac586;100
14;6;fdedd9;100
13;6;fbc68b;100
12;6;fdecd7;100
11;6;fabc73;100
10;6;fabc74;100
9;6;f9bc73;100
8;6;f9bc73;100
7;6;fabc74;100
6;6;f8a443;100
5;6;f79320;100
4;6;f79422;100
3;6;f69322;33
2;6;000000;0
1;6;000000;0
20;7;ff952b;5
19;7;f79422;99
18;7;f7921e;100
17;7;fbce99;100
16;7;ffffff;100
15;7;ffffff;100
14;7;ffffff;100
13;7;ffffff;100
12;7;ffffff;100
11;7;ffffff;100
10;7;ffffff;100
9;7;ffffff;100
8;7;ffffff;100
7;7;ffffff;100
6;7;ffffff;100
5;7;f8a13d;100
4;7;f79421;100
3;7;f79422;95
2;7;ff8000;1
1;7;000000;0
20;8;f79523;37
19;8;f79422;100
18;8;f7911d;100
17;8;fef9f3;100
16;8;ffffff;100
15;8;fcdfbf;100
14;8;f9a648;100
13;8;f9a74a;100
12;8;f9a74a;100
11;8;f9a74a;100
10;8;f8a646;100
9;8;f9a442;100
8;8;f8a444;100
7;8;f9a74a;100
6;8;f9a74a;100
5;8;f8a03a;100
4;8;f79421;100
3;8;f79421;100
2;8;f9a240;35
1;8;000000;0
20;9;f79422;64
19;9;f79422;100
18;9;f7911d;100
17;9;fef9f4;99
16;9;ffffff;100
15;9;faad59;100
14;9;f79423;100
13;9;f79422;100
12;9;f79422;100
11;9;f79422;100
10;9;fbc282;100
9;9;fef1e3;100
8;9;fddcb7;100
7;9;f79422;100
6;9;f79422;100
5;9;f79422;100
4;9;f79422;100
3;9;f79422;100
2;9;f7982a;60
1;9;000000;0
20;10;f79422;80
19;10;f79422;100
18;10;f7911d;100
17;10;fef9f3;99
16;10;ffffff;100
15;10;fde0c2;100
14;10;f8a23e;100
13;10;f8a342;100
12;10;f8a342;100
11;10;f8a342;100
10;10;f9b465;100
9;10;fffffe;100
8;10;fffdfb;100
7;10;f79626;100
6;10;f79422;100
5;10;f79422;100
4;10;f79422;100
3;10;f79422;100
2;10;f79522;73
1;10;000000;0
20;11;f79322;83
19;11;f79422;100
18;11;f7921e;100
17;11;fbcf9c;99
16;11;ffffff;100
15;11;ffffff;100
14;11;ffffff;100
13;11;ffffff;100
12;11;ffffff;100
11;11;ffffff;100
10;11;ffffff;100
9;11;ffffff;100
8;11;ffffff;100
7;11;f89c34;100
6;11;f79422;100
5;11;f79422;100
4;11;f79422;100
3;11;f79422;100
2;11;f79426;74
1;11;000000;0
20;12;f79422;71
19;12;f79422;100
18;12;f79422;100
17;12;f79422;100
16;12;f9b463;100
15;12;fabd76;100
14;12;fabb72;100
13;12;ffffff;99
12;12;fabb72;100
11;12;ffffff;100
10;12;fab669;100
9;12;fefaf4;100
8;12;ffffff;100
7;12;f8a74b;100
6;12;f79422;100
5;12;f79422;100
4;12;f79422;100
3;12;f79422;100
2;12;f89a32;69
1;12;000000;0
20;13;f79321;48
19;13;f79422;100
18;13;f79422;100
17;13;f79422;100
16;13;f79422;100
15;13;f79422;100
14;13;f79421;100
13;13;f9ab52;99
12;13;f79523;100
11;13;f9af5b;100
10;13;f7911c;100
9;13;fddfbc;100
8;13;ffffff;100
7;13;fbd4a7;100
6;13;f7921d;100
5;13;f79422;100
4;13;f79422;100
3;13;f79420;100
2;13;f9a442;48
1;13;000000;0
20;14;f89122;15
19;14;f79422;100
18;14;f79422;100
17;14;f79422;100
16;14;f79422;100
15;14;f79422;100
14;14;f79422;100
13;14;f79321;100
12;14;f79422;100
11;14;f79321;100
10;14;f79423;100
9;14;fabc74;100
8;14;ffffff;100
7;14;fff5ec;100
6;14;f7921d;100
5;14;f79422;100
4;14;f79422;100
3;14;f79423;100
2;14;f7b25d;13
1;14;000000;0
20;15;000000;0
19;15;f89422;67
18;15;f79422;100
17;15;f79422;100
16;15;f79422;100
15;15;f79422;100
14;15;f79422;100
13;15;f79422;100
12;15;f79422;100
11;15;f79422;100
10;15;f79422;100
9;15;f79728;100
8;15;fffefd;100
7;15;ffffff;100
6;15;f79625;100
5;15;f79422;100
4;15;f79422;100
3;15;f79e35;63
2;15;000000;0
1;15;000000;0
20;16;000000;0
19;16;ff9224;5
18;16;f79422;97
17;16;f79422;100
16;16;f79422;100
15;16;f79422;100
14;16;f79422;100
13;16;f79422;100
12;16;f79422;100
11;16;f79422;100
10;16;f79422;100
9;16;f79019;100
8;16;fddcb7;100
7;16;fde0bf;100
6;16;f8a039;99
5;16;f79422;100
4;16;f89523;93
3;16;ffb162;5
2;16;000000;0
1;16;000000;0
20;17;000000;0
19;17;000000;0
18;17;f89122;15
17;17;f79422;98
16;17;f79422;100
15;17;f79422;100
14;17;f79422;100
13;17;f79422;100
12;17;f79422;100
11;17;f79422;100
10;17;f79422;100
9;17;f79422;100
8;17;f79019;100
7;17;f78f18;100
6;17;f79321;100
5;17;f79422;95
4;17;f69224;11
3;17;000000;0
2;17;000000;0
1;17;000000;0
20;18;000000;0
19;18;000000;0
18;18;000000;0
17;18;f29428;7
16;18;f79422;80
15;18;f79422;100
14;18;f79422;100
13;18;f79422;100
12;18;f79422;100
11;18;f79422;100
10;18;f79422;100
9;18;f79422;100
8;18;f79422;100
7;18;f79421;100
6;18;f79422;74
5;18;ff9d27;5
4;18;000000;0
3;18;000000;0
2;18;000000;0
1;18;000000;0
20;19;000000;0
19;19;000000;0
18;19;000000;0
17;19;000000;0
16;19;000000;0
15;19;f89421;27
14;19;f79322;73
13;19;f79422;95
12;19;f79422;99
11;19;f79422;100
10;19;f79422;99
9;19;f79422;94
8;19;f79b2f;74
7;19;f8a036;29
6;19;000000;0
5;19;000000;0
4;19;000000;0
3;19;000000;0
2;19;000000;0
1;19;000000;0
20;20;000000;0
19;20;000000;0
18;20;000000;0
17;20;000000;0
16;20;000000;0
15;20;000000;0
14;20;000000;0
13;20;ff8000;1
12;20;f69726;11
11;20;f79421;12
10;20;f5931d;10
9;20;ffff00;0
8;20;000000;0
7;20;000000;0
6;20;000000;0
5;20;000000;0
4;20;000000;0
3;20;000000;0
2;20;000000;0
1;20;000000;0
